Item,Bucket,Date,End Date,Number of Buckets,Current,Original,Total,Confidence(%),Project Number,,Task Number,Line,Comment,Forecast,[  ]
YT363694-805,Days,12/29/2020,,1,0,0,0,100,,,,,"PR 12,726.82",JAX-FCST,.
YT413234-805,Days,8/31/2020,,1,0,0,0,100,,,,,PR 6229.00,JAX-FCST,.
YT425655,Days,10/27/2020,,1,35,52,35,100,,,,,CAT 62.00,JAX-FCST,.
YT425663-803,Days,11/10/2020,,1,8,8,8,100,,,,,CAT 7042.00,JAX-FCST,.
YT425663-815,Days,9/28/2020,,1,0,0,0,100,,,,,CAT 6889.00,JAX-FCST,.
YT426744-AB-803,Days,9/29/2020,,1,0,0,0,100,,,,,CAT 10570.00,JAX-FCST,.
YT426744-AB-803,Days,11/17/2020,,1,2,2,2,100,,,,,CAT 10570.00,JAX-FCST,.
YT427896-805,Days,11/19/2020,,1,4,4,4,100,,,,,PR 9119.00,JAX-FCST,.
YT427896-805,Days,12/10/2020,,1,3,3,3,100,,,,,PR 9119.00,JAX-FCST,.
YT427896-805,Days,12/30/2020,,1,3,3,3,100,,,,,PR 9119.00,JAX-FCST,.
YT427896-805,Days,1/18/2021,,1,3,3,3,100,,,,,PR 9119.00,JAX-FCST,.
YT427897-805,Days,11/9/2020,,1,4,4,4,100,,,,,PR 9119.00,JAX-FCST,.
YT427897-805,Days,12/10/2020,,1,3,3,3,100,,,,,PR 9119.00,JAX-FCST,.
YT427897-805,Days,12/30/2020,,1,3,3,3,100,,,,,PR 9119.00,JAX-FCST,.
YT427897-805,Days,1/18/2021,,1,3,3,3,100,,,,,PR 9119.00,JAX-FCST,.
YT442954-811,Days,11/9/2020,,1,0,2,0,100,,,,,CAT 13640.00,JAX-FCST,.
YT442954-811,Days,11/12/2020,,1,0,2,0,100,,,,,CAT 13640.00,JAX-FCST,.
YT442954-811,Days,11/17/2020,,1,2,2,2,100,,,,,CAT 13640.00,JAX-FCST,.
YT442954-811,Days,11/20/2020,,1,2,2,2,100,,,,,CAT 13640.00,JAX-FCST,.
YT442954-811,Days,11/25/2020,,1,2,2,2,100,,,,,CAT 13640.00,JAX-FCST,.
YT442954-811,Days,12/1/2020,,1,2,2,2,100,,,,,CAT 13640.00,JAX-FCST,.
YT442954-811,Days,12/2/2020,,1,2,2,2,100,,,,,CAT 13640.00,JAX-FCST,.
YT442954-811,Days,12/9/2020,,1,2,2,2,100,,,,,CAT 13640.00,JAX-FCST,.
YT442967-800,Days,12/7/2020,,1,0,0,0,100,,,,,GE 7827.00,JAX-FCST,.
YT442968-800,Days,12/7/2020,,1,0,0,0,100,,,,,GE 7865.00,JAX-FCST,.
YT443000-815,Days,9/14/2020,,1,0,4,0,100,,,,,GE 11010.00,JAX-FCST,.
YT443000-815,Days,9/28/2020,,1,0,3,0,100,,,,,GE 11010.00,JAX-FCST,.
YT443000-815,Days,10/5/2020,,1,0,1,0,100,,,,,GE 11010.00,JAX-FCST,.
YT443000-815,Days,10/12/2020,,1,0,2,0,100,,,,,GE 11010.00,JAX-FCST,.
YT443000-815,Days,10/19/2020,,1,0,2,0,100,,,,,GE 11010.00,JAX-FCST,.
YT443000-815,Days,10/26/2020,,1,0,2,0,100,,,,,GE 11010.00,JAX-FCST,.
YT443000-815,Days,11/2/2020,,1,0,0,0,100,,,,,GE 11010.00,JAX-FCST,.
YT443001-815,Days,9/14/2020,,1,0,2,0,100,,,,,GE 10874.00,JAX-FCST,.
YT443001-815,Days,9/28/2020,,1,0,2,0,100,,,,,GE 10874.00,JAX-FCST,.
YT443001-815,Days,10/5/2020,,1,0,1,0,100,,,,,GE 10874.00,JAX-FCST,.
YT443001-815,Days,10/12/2020,,1,0,2,0,100,,,,,GE 10874.00,JAX-FCST,.
YT443001-815,Days,10/19/2020,,1,0,2,0,100,,,,,GE 10874.00,JAX-FCST,.
YT443001-815,Days,10/26/2020,,1,0,1,0,100,,,,,GE 10874.00,JAX-FCST,.
YT443001-815,Days,11/2/2020,,1,0,0,0,100,,,,,GE 10874.00,JAX-FCST,.
YT443658-803,Days,10/20/2020,,1,3,3,3,100,,,,,CAT 11713.00,JAX-FCST,.
YT446114-811,Days,11/12/2020,,1,0,2,0,100,,,,,CAT 12173.00,JAX-FCST,.
YT446114-811,Days,11/18/2020,,1,0,0,0,100,,,,,CAT 12173.00,JAX-FCST,.
YT446114-811,Days,11/25/2020,,1,0,0,0,100,,,,,CAT 12173.00,JAX-FCST,.
YT446114-811,Days,12/2/2020,,1,0,0,0,100,,,,,CAT 12173.00,JAX-FCST,.
YT446114-811,Days,12/9/2020,,1,0,0,0,100,,,,,CAT 12173.00,JAX-FCST,.
YT446114-811,Days,12/16/2020,,1,0,0,0,100,,,,,CAT 12173.00,JAX-FCST,.
YT50972-113.50,Days,10/8/2020,,1,0,0,0,100,,,,,PR 17.00,JAX-FCST,.
YT50972-113.50,Days,10/22/2020,,1,0,0,0,100,,,,,PR 17.00,JAX-FCST,.
YT50972-113.50,Days,10/29/2020,,1,0,0,0,100,,,,,PR 17.00,JAX-FCST,.
YT50972-113.50,Days,11/25/2020,,1,0,0,0,100,,,,,PR 17.00,JAX-FCST,.
YT50972-113.50,Days,12/29/2020,,1,0,0,0,100,,,,,PR 17.00,JAX-FCST,.
