Item,Bucket,Date,End Date,Number of Buckets,Current,Original,Total,Confidence(%),Project Number,,Task Number,Line,Comment,Forecast,[  ]
YT05001-058.75,Days,4/29/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05001-058.75,Days,5/28/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05001-058.75,Days,6/29/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05001-058.75,Days,7/29/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05001-058.75,Days,8/30/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05001-058.75,Days,9/29/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05001-058.75,Days,10/28/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05001-058.75,Days,11/29/2021,,1,61,61,61,100,,,,,PR 10.00,LEX-FCST,.
YT05401-1,Days,4/13/2021,,1,20,20,20,100,,,,,CAT 52.00,LEX-FCST,.
YT05401-1,Days,6/1/2021,,1,14,14,14,100,,,,,CAT 52.00,LEX-FCST,.
YT05401-1,Days,7/27/2021,,1,29,29,29,100,,,,,CAT 52.00,LEX-FCST,.
YT05401-1,Days,9/14/2021,,1,29,29,29,100,,,,,CAT 52.00,LEX-FCST,.
YT05401-1,Days,10/26/2021,,1,22,22,22,100,,,,,CAT 52.00,LEX-FCST,.
YT05401-4,Days,4/13/2021,,1,3,3,3,100,,,,,CAT 72.00,LEX-FCST,.
YT05401-4,Days,9/14/2021,,1,3,3,3,100,,,,,CAT 72.00,LEX-FCST,.
YT05627-144,Days,5/11/2021,,1,1,1,1,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,5/18/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,5/26/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,6/4/2021,,1,5,5,5,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,6/18/2021,,1,6,6,6,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,7/6/2021,,1,2,2,2,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,7/20/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,7/28/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,8/5/2021,,1,5,5,5,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,8/19/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,8/27/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,9/3/2021,,1,4,4,4,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,9/20/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,9/28/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,10/5/2021,,1,4,4,4,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,10/19/2021,,1,3,3,3,100,,,,,CAT 301.00,LEX-FCST,.
YT05627-144,Days,10/26/2021,,1,6,6,6,100,,,,,CAT 301.00,LEX-FCST,.
