Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open Qty,Price,Extended Price,Item Cost ,Material Cost,Material OH Cost,Resource Cost,Overhead Cost,OSP Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4
YT#500829,FR.19.N.X.1.2.8.1.15.M.X.X.X.X.G.G.C.X.X.X.X,4,YTS-INTERNATIONAL,561686,2,14-JUL-20,15-JUL-20,16-JUL-20,15-JUL-20,18-SEP-20,18-SEP-20,1,"11,267.88","11,267.88","3,646.56","3,349.59",,58.88,238.09,0.00,C H BULL CO,PERKANTORAN KEBON JERUK BARU B,JAKARTA,"JAKARTA,INDONESIA 11530 - ID",
YT000000L,SPECIAL CHARGES LEXINGTON,292,YTS-DOMESTIC,561460,4,21-AUG-20,06-AUG-20,21-AUG-20,07-AUG-20,21-AUG-20,20-AUG-20,1,900.00,900.00,0.00,,,,,,DEHN ENGINEERING SALES CO,852 LINCOLN BLVD SW,JOINT BASE LEWIS MCCORD,"Joint Base Lewis Mcchord,WA 98438 - US",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-INTERNATIONAL,561322,4,29-MAY-20,29-MAY-20,02-JUN-20,04-SEP-20,04-SEP-20,04-SEP-20,1,50.00,50.00,10.00,10.00,,,,,LUREYE ELECTROMECANICA SA,FREIGHT FORWARDER,11190 NW 25 ST BLDG 5 SUITE 120,"Miami,FL 33172 - US",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-INTERNATIONAL,561729,2,21-JUL-20,21-JUL-20,21-JUL-20,14-SEP-20,04-SEP-20,04-SEP-20,1,50.00,50.00,10.00,10.00,,,,,WESCO SPS,C/O PANALPINA INC,19409 KENSWICK DRIVE,"Humble,TX 77338 - US",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-DOMESTIC,561257,2,26-MAY-20,26-MAY-20,27-MAY-20,21-AUG-20,04-SEP-20,04-SEP-20,3,50.00,150.00,10.00,10.00,,,,,FAIRBANKS MORSE ENG DIV,FAIRBANKS MORSE LLC,701 WHITE AVENUE,"Beloit,WI 53511 - US",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-DOMESTIC,561613,2,02-JUL-20,02-JUL-20,07-JUL-20,25-SEP-20,18-SEP-20,18-SEP-20,3,50.00,150.00,10.00,10.00,,,,,FAIRBANKS MORSE ENG DIV,FAIRBANKS MORSE LLC,701 WHITE AVENUE,"Beloit,WI 53511 - US",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-DOMESTIC,561869,2,06-AUG-20,06-AUG-20,11-AUG-20,24-SEP-20,18-SEP-20,18-SEP-20,1,40.00,40.00,10.00,10.00,,,,,PRO DYNE CORP,1805 CORLIES AVE (RT.33),"Neptune,NJ 07753 - US",,
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-DOMESTIC,561470,2,16-JUN-20,16-JUN-20,18-JUN-20,02-SEP-20,18-SEP-20,18-SEP-20,6,50.00,300.00,10.00,10.00,,,,,FAIRBANKS MORSE ENG DIV,FAIRBANKS MORSE LLC,701 WHITE AVENUE,"Beloit,WI 53511 - US",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-INTERNATIONAL,561726,3,20-JUL-20,20-JUL-20,11-AUG-20,30-SEP-20,30-SEP-20,30-SEP-20,1,40.00,40.00,10.00,10.00,,,,,PRO DYNE CORP,PEZINSKA 18,MALACKY SK,"MALACKY,90101  - SK",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-DOMESTIC,561880,2,07-AUG-20,07-AUG-20,07-AUG-20,07-AUG-20,02-OCT-20,02-OCT-20,1,50.00,50.00,10.00,10.00,,,,,FAIRBANKS MORSE ENG DIV,FAIRBANKS MORSE LLC,701 WHITE AVENUE,"Beloit,WI 53511 - US",
YT000COC,CERT OF COMPLIANCE,PHANTOM,YTS-DOMESTIC,561773,2,24-JUL-20,24-JUL-20,20-AUG-20,27-AUG-20,28-OCT-20,28-OCT-20,1,50.00,50.00,10.00,10.00,,,,,MRC GLOBAL INC US 830,#172,LA PORTE # 172,"LA PORTE,TX 77571 - US",
