Item,Date,Qty,Customer,Price,Extended Price,Type,Org
YT04906-089.50,2021-03-16,22,CAT,41.0,902.0,FC,JAX
YT04906-089.50,2021-04-20,33,CAT,41.0,1353.0,FC,JAX
YT04906-089.50,2021-05-18,21,CAT,41.0,861.0,FC,JAX
YT04906-089.50,2021-06-15,58,CAT,41.0,2378.0,FC,JAX
YT04906-089.50,2021-07-20,36,CAT,41.0,1476.0,FC,JAX
YT04906-089.50,2021-08-10,26,CAT,41.0,1066.0,FC,JAX
YT04906-089.50,2021-09-07,49,CAT,41.0,2009.0,FC,JAX
YT04906-089.50,2021-09-28,41,CAT,41.0,1681.0,FC,JAX
YT04906-089.50,2021-10-26,37,CAT,41.0,1517.0,FC,JAX
YT04906-089.50,2021-11-23,55,CAT,41.0,2255.0,FC,JAX
YT344321-805,2021-05-28,3,PR,15384.0,46152.0,FC,JAX
YT344321-805,2021-07-29,3,PR,15384.0,46152.0,FC,JAX
YT344322-805,2021-05-28,3,PR,15384.0,46152.0,FC,JAX
YT344322-805,2021-07-29,3,PR,15384.0,46152.0,FC,JAX
YT363693-805,2021-06-29,3,PR,13637.2,40911.600000000006,FC,JAX
YT363693-805,2021-07-29,2,PR,13637.2,27274.4,FC,JAX
YT363693-805,2021-08-30,2,PR,13637.2,27274.4,FC,JAX
YT363693-805,2021-09-29,1,PR,13637.2,13637.2,FC,JAX
YT363693-805,2021-10-28,2,PR,13637.2,27274.4,FC,JAX
YT363693-805,2021-11-29,2,PR,13637.2,27274.4,FC,JAX
YT363694-805,2021-06-29,1,PR,13637.2,13637.2,FC,JAX
YT363694-805,2021-07-29,2,PR,13637.2,27274.4,FC,JAX
YT363694-805,2021-08-30,2,PR,13637.2,27274.4,FC,JAX
YT363694-805,2021-09-29,2,PR,13637.2,27274.4,FC,JAX
YT418867-803,2021-07-12,8,GEB,6078.66,48629.28,FC,JAX
YT418867-803,2021-07-26,8,GEB,6078.66,48629.28,FC,JAX
YT418867-803,2021-08-02,8,GEB,6078.66,48629.28,FC,JAX
YT418867-803,2021-08-16,8,GEB,6078.66,48629.28,FC,JAX
YT418867-803,2021-08-30,10,GEB,6078.66,60786.6,FC,JAX
YT418867-803,2021-09-03,6,GEB,6078.66,36471.96,FC,JAX
YT418867-803,2021-09-13,6,GEB,6078.66,36471.96,FC,JAX
YT418867-803,2021-09-27,6,GEB,6078.66,36471.96,FC,JAX
YT418867-803,2021-10-04,6,GEB,6078.66,36471.96,FC,JAX
YT418867-803,2021-10-11,6,GEB,6078.66,36471.96,FC,JAX
