Item,Date,Qty,Customer,Price,Extended Price,Type,Org
YT05001-058.75,2021-04-29,61,PR,10.0,610.0,FC,LEX
YT05001-058.75,2021-05-28,61,PR,10.0,610.0,FC,LEX
YT05001-058.75,2021-06-29,61,PR,10.0,610.0,FC,LEX
YT05001-058.75,2021-07-29,61,PR,10.0,610.0,FC,LEX
YT05001-058.75,2021-08-30,61,PR,10.0,610.0,FC,LEX
YT05001-058.75,2021-09-29,61,PR,10.0,610.0,FC,LEX
YT05001-058.75,2021-10-28,61,PR,10.0,610.0,FC,LEX
YT05001-058.75,2021-11-29,61,PR,10.0,610.0,FC,LEX
YT05401-1,2021-04-13,20,CAT,52.0,1040.0,FC,LEX
YT05401-1,2021-06-01,14,CAT,52.0,728.0,FC,LEX
YT05401-1,2021-07-27,29,CAT,52.0,1508.0,FC,LEX
YT05401-1,2021-09-14,29,CAT,52.0,1508.0,FC,LEX
YT05401-1,2021-10-26,22,CAT,52.0,1144.0,FC,LEX
YT05401-4,2021-04-13,3,CAT,72.0,216.0,FC,LEX
YT05401-4,2021-09-14,3,CAT,72.0,216.0,FC,LEX
YT05627-144,2021-05-11,1,CAT,301.0,301.0,FC,LEX
YT05627-144,2021-05-18,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-05-26,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-06-04,5,CAT,301.0,1505.0,FC,LEX
YT05627-144,2021-06-18,6,CAT,301.0,1806.0,FC,LEX
YT05627-144,2021-07-06,2,CAT,301.0,602.0,FC,LEX
YT05627-144,2021-07-20,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-07-28,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-08-05,5,CAT,301.0,1505.0,FC,LEX
YT05627-144,2021-08-19,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-08-27,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-09-03,4,CAT,301.0,1204.0,FC,LEX
YT05627-144,2021-09-20,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-09-28,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-10-05,4,CAT,301.0,1204.0,FC,LEX
YT05627-144,2021-10-19,3,CAT,301.0,903.0,FC,LEX
YT05627-144,2021-10-26,6,CAT,301.0,1806.0,FC,LEX
YT05627-144,2021-11-16,6,CAT,301.0,1806.0,FC,LEX
YT05627-266,2021-05-06,3,CAT,376.0,1128.0,FC,LEX
YT05627-266,2021-05-18,2,CAT,376.0,752.0,FC,LEX
YT05627-266,2021-06-18,2,CAT,376.0,752.0,FC,LEX
YT05627-266,2021-07-20,2,CAT,376.0,752.0,FC,LEX
YT05627-266,2021-08-19,2,CAT,376.0,752.0,FC,LEX
YT05627-266,2021-09-20,2,CAT,376.0,752.0,FC,LEX
YT05627-266,2021-10-19,2,CAT,376.0,752.0,FC,LEX
YT05627-266,2021-11-16,2,CAT,376.0,752.0,FC,LEX
YT05627-76,2021-05-11,1,CAT,254.0,254.0,FC,LEX
YT05627-76,2021-06-11,1,CAT,254.0,254.0,FC,LEX
YT05627-76,2021-07-13,1,CAT,254.0,254.0,FC,LEX
YT05627-76,2021-08-12,1,CAT,254.0,254.0,FC,LEX
YT05627-76,2021-09-13,1,CAT,254.0,254.0,FC,LEX
YT05627-76,2021-10-12,1,CAT,254.0,254.0,FC,LEX
YT05627-76,2021-11-09,1,CAT,254.0,254.0,FC,LEX
YT05629-30,2021-04-27,1,CAT,73.0,73.0,FC,LEX
YT05629-53,2021-05-04,12,CAT,70.0,840.0,FC,LEX
YT05629-53,2021-05-28,5,CAT,70.0,350.0,FC,LEX
YT05629-53,2021-06-11,11,CAT,70.0,770.0,FC,LEX
YT05629-53,2021-07-13,9,CAT,70.0,630.0,FC,LEX
YT05629-53,2021-07-29,5,CAT,70.0,350.0,FC,LEX
YT05629-53,2021-08-12,10,CAT,70.0,700.0,FC,LEX
YT05629-53,2021-08-27,4,CAT,70.0,280.0,FC,LEX
YT05629-53,2021-09-13,9,CAT,70.0,630.0,FC,LEX
YT05629-53,2021-09-28,4,CAT,70.0,280.0,FC,LEX
YT05629-53,2021-10-12,13,CAT,70.0,910.0,FC,LEX
YT05629-53,2021-11-09,11,CAT,70.0,770.0,FC,LEX
YT05633-01-5,2021-09-28,1,CAT,505.0,505.0,FC,LEX
YT05634-00,2021-08-03,3,CAT,242.0,726.0,FC,LEX
YT05634-00,2021-10-05,2,CAT,242.0,484.0,FC,LEX
YT05634-03,2021-04-20,2,CAT,542.0,1084.0,FC,LEX
YT05634-03,2021-05-25,2,CAT,542.0,1084.0,FC,LEX
YT05634-03,2021-07-27,4,CAT,542.0,2168.0,FC,LEX
YT05634-03,2021-09-21,2,CAT,542.0,1084.0,FC,LEX
YT05634-03,2021-11-23,4,CAT,542.0,2168.0,FC,LEX
