Item,Date,Qty,Customer,PC,Price,Extended Price,Org,Type
YT02190-806,4-Mar-21,4,MOTIVE POWER-BOISE,3,"2,485.00","9,940.00",JAX,SO
YT02753,22-Jan-21,50,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,PI,2.43,121.5,JAX,SO
YT02758,6-Jan-21,16,"WABTEC TRANSPORTATION SYSTEMS, LLC",HO,68,"1,088.00",JAX,SO
YT02758,5-Feb-21,25,"WABTEC TRANSPORTATION SYSTEMS, LLC",HO,68,"1,700.00",JAX,SO
YT04088-805,12-Feb-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"22,904.00","22,904.00",JAX,SO
YT04359,6-Jan-21,3,"WABTEC TRANSPORTATION SYSTEMS, LLC",HO,72,216,JAX,SO
YT04359,15-Jan-21,2,"WABTEC TRANSPORTATION SYSTEMS, LLC",HO,72,144,JAX,SO
YT04359,22-Jan-21,50,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,HO,44.35,"2,217.50",JAX,SO
YT04359,22-Jan-21,2,"WABTEC TRANSPORTATION SYSTEMS, LLC",HO,72,144,JAX,SO
YT04359,2-Jan-23,4,"WABTEC TRANSPORTATION SYSTEMS, LLC",HO,72,288,JAX,SO
YT04360,18-Dec-20,100,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,HO,36.72,"3,672.00",JAX,SO
YT04360,21-May-21,4,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,HO,36.72,146.88,JAX,SO
YT04906-126.00,20-Jan-21,1,YOUNG TOUCHSTONE,DU,0,0,JAX,SO
YT327909-911,10-Feb-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"9,831.00","9,831.00",JAX,SO
YT327909-911,10-Feb-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"9,831.00","9,831.00",JAX,SO
YT327909-911,4-Mar-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"9,831.00","9,831.00",JAX,SO
YT327909-911,5-Mar-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"9,831.00","9,831.00",JAX,SO
YT327909-911,5-Mar-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"9,831.00","9,831.00",JAX,SO
YT327909-911,5-Mar-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"9,831.00","9,831.00",JAX,SO
YT327909-911,6-Apr-21,1,"WABTEC TRANSPORTATION SYSTEMS, LLC",3,"9,831.00","9,831.00",JAX,SO
YT339494-816,18-Dec-20,6,PROGRESS RAIL LOCOMOTIVE INC.,SV,579.37,"3,476.22",JAX,SO
YT348639,22-Jan-21,6,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,HO,42.17,253.02,JAX,SO
YT348640-816,16-Apr-21,3,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,SV,41.77,125.31,JAX,SO
YT352400-808,22-Jan-21,2,PROGRESS RAIL LOCOMOTIVE INC.,3,"6,620.00","16,778.00",JAX,SO
YT352401-808,22-Jan-21,2,PROGRESS RAIL LOCOMOTIVE INC.,3,"6,620.00","16,778.00",JAX,SO
YT363693-805,22-Jan-21,1,PROGRESS RAIL LOCOMOTIVE INC.,3,"9,148.00","13,227.20",JAX,SO
YT363693-805,22-Jan-21,1,PROGRESS RAIL LOCOMOTIVE INC.,3,"9,148.00","13,227.20",JAX,SO
YT363693-805,22-Jan-21,1,PROGRESS RAIL LOCOMOTIVE INC.,3,"9,148.00","13,227.20",JAX,SO
YT363693-805,22-Jan-21,1,PROGRESS RAIL LOCOMOTIVE INC.,3,"9,148.00","13,227.20",JAX,SO
YT363693-805,22-Jan-21,1,PROGRESS RAIL LOCOMOTIVE INC.,3,"9,148.00","13,227.20",JAX,SO
YT363693-805,22-Jan-21,1,PROGRESS RAIL LOCOMOTIVE INC.,3,"9,148.00","13,227.20",JAX,SO
