Item,Date,Qty,Comment,Type
YT05001-058.75,10/28/2021,61,PR 10.00,FC
YT05001-058.75,11/29/2021,61,PR 10.00,FC
YT05001-058.75,4/29/2021,61,PR 10.00,FC
YT05001-058.75,5/28/2021,61,PR 10.00,FC
YT05001-058.75,6/29/2021,61,PR 10.00,FC
YT05001-058.75,7/29/2021,61,PR 10.00,FC
YT05001-058.75,8/30/2021,61,PR 10.00,FC
YT05001-058.75,9/29/2021,61,PR 10.00,FC
YT05401-1,10/26/2021,22,CAT 52.00,FC
YT05401-1,4/13/2021,20,CAT 52.00,FC
YT05401-1,6/1/2021,14,CAT 52.00,FC
YT05401-1,7/27/2021,29,CAT 52.00,FC
YT05401-1,9/14/2021,29,CAT 52.00,FC
YT05401-4,4/13/2021,3,CAT 72.00,FC
YT05401-4,9/14/2021,3,CAT 72.00,FC
YT05627-144,10/19/2021,3,CAT 301.00,FC
YT05627-144,10/26/2021,6,CAT 301.00,FC
YT05627-144,10/5/2021,4,CAT 301.00,FC
YT05627-144,11/16/2021,6,CAT 301.00,FC
YT05627-144,5/11/2021,1,CAT 301.00,FC
YT05627-144,5/18/2021,3,CAT 301.00,FC
YT05627-144,5/26/2021,3,CAT 301.00,FC
YT05627-144,6/18/2021,6,CAT 301.00,FC
YT05627-144,6/4/2021,5,CAT 301.00,FC
YT05627-144,7/20/2021,3,CAT 301.00,FC
YT05627-144,7/28/2021,3,CAT 301.00,FC
YT05627-144,7/6/2021,2,CAT 301.00,FC
YT05627-144,8/19/2021,3,CAT 301.00,FC
YT05627-144,8/27/2021,3,CAT 301.00,FC
YT05627-144,8/5/2021,5,CAT 301.00,FC
YT05627-144,9/20/2021,3,CAT 301.00,FC
YT05627-144,9/28/2021,3,CAT 301.00,FC
YT05627-144,9/3/2021,4,CAT 301.00,FC
YT05627-266,10/19/2021,2,CAT 376.00,FC
YT05627-266,11/16/2021,2,CAT 376.00,FC
YT05627-266,5/18/2021,2,CAT 376.00,FC
YT05627-266,5/6/2021,3,CAT 376.00,FC
YT05627-266,6/18/2021,2,CAT 376.00,FC
YT05627-266,7/20/2021,2,CAT 376.00,FC
YT05627-266,8/19/2021,2,CAT 376.00,FC
YT05627-266,9/20/2021,2,CAT 376.00,FC
YT05627-76,10/12/2021,1,CAT 254.00,FC
YT05627-76,11/9/2021,1,CAT 254.00,FC
YT05627-76,5/11/2021,1,CAT 254.00,FC
YT05627-76,6/11/2021,1,CAT 254.00,FC
YT05627-76,7/13/2021,1,CAT 254.00,FC
YT05627-76,8/12/2021,1,CAT 254.00,FC
YT05627-76,9/13/2021,1,CAT 254.00,FC
YT05629-30,4/27/2021,1,CAT 73.00,FC
YT05629-53,10/12/2021,13,CAT 70.00,FC
YT05629-53,11/9/2021,11,CAT 70.00,FC
YT05629-53,5/28/2021,5,CAT 70.00,FC
YT05629-53,5/4/2021,12,CAT 70.00,FC
YT05629-53,6/11/2021,11,CAT 70.00,FC
YT05629-53,7/13/2021,9,CAT 70.00,FC
YT05629-53,7/29/2021,5,CAT 70.00,FC
YT05629-53,8/12/2021,10,CAT 70.00,FC
YT05629-53,8/27/2021,4,CAT 70.00,FC
YT05629-53,9/13/2021,9,CAT 70.00,FC
YT05629-53,9/28/2021,4,CAT 70.00,FC
YT05633-01-5,9/28/2021,1,CAT 505.00,FC
YT05634-00,10/5/2021,2,CAT 242.00,FC
YT05634-00,8/3/2021,3,CAT 242.00,FC
YT05634-03,11/23/2021,4,CAT 542.00,FC
YT05634-03,4/20/2021,2,CAT 542.00,FC
YT05634-03,5/25/2021,2,CAT 542.00,FC
YT05634-03,7/27/2021,4,CAT 542.00,FC
YT05634-03,9/21/2021,2,CAT 542.00,FC
YT05634-04,10/12/2021,1,CAT 216.00,FC
YT065713-901,11/1/2021,2,INN 62.00,FC
YT065713-901,4/1/2021,3,INN 62.00,FC
YT065955-901,10/7/2021,10,PR 38.00,FC
YT065955-901,4/7/2021,17,PR 38.00,FC
YT065955-901,5/7/2021,5,PR 38.00,FC
YT065955-901,6/7/2021,23,PR 38.00,FC
YT065955-901,7/7/2021,11,PR 38.00,FC
YT065955-901,8/6/2021,9,PR 38.00,FC
YT065955-901,9/7/2021,28,PR 38.00,FC
YT07419,10/11/2021,2,GE  8401.00,FC
YT07419,10/18/2021,1,GE  8401.00,FC
YT07419,10/25/2021,1,GE  8401.00,FC
YT07419,10/4/2021,1,GE  8401.00,FC
YT07419,11/1/2021,1,GE  8401.00,FC
YT07419,5/10/2021,1,GE  8401.00,FC
YT07419,5/17/2021,1,GE  8401.00,FC
YT07419,5/24/2021,2,GE  8401.00,FC
YT07419,5/28/2021,1,GE  8401.00,FC
YT07419,6/14/2021,1,GE  8401.00,FC
YT07419,6/21/2021,2,GE  8401.00,FC
YT07419,6/28/2021,3,GE  8401.00,FC
YT07419,6/7/2021,1,GE  8401.00,FC
YT07419,7/12/2021,1,GE  8401.00,FC
YT07419,7/19/2021,1,GE  8401.00,FC
YT07419,7/2/2021,2,GE  8401.00,FC
YT07419,7/26/2021,2,GE  8401.00,FC
YT07419,8/16/2021,2,GE  8401.00,FC
YT07419,8/2/2021,1,GE  8401.00,FC
YT07419,8/30/2021,1,GE  8401.00,FC
YT07419,8/9/2021,1,GE  8401.00,FC
YT07419,9/13/2021,1,GE  8401.00,FC
YT07419,9/20/2021,1,GE  8401.00,FC
YT07419,9/27/2021,1,GE  8401.00,FC
YT07419,9/3/2021,1,GE  8401.00,FC
YT07712-43,11/16/2021,1,CAT 330.00,FC
YT07712-43,6/22/2021,1,CAT 330.00,FC
YT07712-43,8/10/2021,1,CAT 330.00,FC
YT08218,10/12/2021,66,CAT 16.00,FC
YT08218,6/15/2021,55,CAT 16.00,FC
YT08218,8/17/2021,71,CAT 16.00,FC
YT201438-901,6/25/2021,30,INN 15.00,FC
YT212415-901,10/28/2021,1,PR 1565.00,FC
YT212415-901,11/29/2021,1,PR 1565.00,FC
YT212415-901,5/27/2021,1,PR 1565.00,FC
YT212415-901,6/29/2021,1,PR 1565.00,FC
YT212415-901,7/29/2021,1,PR 1565.00,FC
YT212415-901,8/30/2021,1,PR 1565.00,FC
YT212415-901,9/29/2021,1,PR 1565.00,FC
YT231299,10/7/2021,6,PR 3870.00,FC
YT231299,11/5/2021,1,PR 3870.00,FC
YT231299,5/7/2021,6,PR 3870.00,FC
YT231299,6/7/2021,5,PR 3870.00,FC
YT231299,7/7/2021,7,PR 3870.00,FC
YT231299,8/6/2021,6,PR 3870.00,FC
YT231299,9/7/2021,7,PR 3870.00,FC
YT271509-901,10/5/2021,2,CAT 1395.00,FC
YT271509-901,6/15/2021,1,CAT 1395.00,FC
YT271509-901,8/3/2021,2,CAT 1395.00,FC
YT278633,10/19/2021,1,CAT 4147.00,FC
YT278633,8/3/2021,1,CAT 4147.00,FC
YT285721-901,8/6/2021,1,PR 2630.00,FC
YT321540-816,6/4/2021,1,INN 60.00,FC
YT321541-816,6/4/2021,1,INN 60.00,FC
YT333089-901,10/7/2021,5,PR 1347.00,FC
YT333089-901,11/5/2021,1,PR 1347.00,FC
YT333089-901,6/7/2021,12,PR 1347.00,FC
YT333089-901,7/7/2021,11,PR 1347.00,FC
YT333089-901,8/6/2021,11,PR 1347.00,FC
YT333089-901,9/7/2021,4,PR 1347.00,FC
YT333095-901,4/7/2021,37,PR 19.00,FC
YT333095-901,5/7/2021,37,PR 19.00,FC
YT333095-901,6/7/2021,37,PR 19.00,FC
YT333095-901,7/7/2021,37,PR 19.00,FC
YT333095-901,8/6/2021,37,PR 19.00,FC
YT333095-901,9/7/2021,13,PR 19.00,FC
YT337656,6/25/2021,1,INN 7545.00,FC
YT339920,10/5/2021,12,KOM 2205.00,FC
YT339920,11/1/2021,22,KOM 2205.00,FC
YT339920,8/5/2021,6,KOM 2205.00,FC
YT339920,9/3/2021,9,KOM 2205.00,FC
YT344109-816,6/25/2021,2,KOM 300.00,FC
YT344114,5/21/2021,1,INN 1644.00,FC
YT344114,5/3/2021,1,INN 1644.00,FC
YT344114,6/18/2021,1,INN 1644.00,FC
YT345267,5/21/2021,3,INN 1778.00,FC
YT348551,7/22/2021,1,PR 6453.00,FC
YT359582,4/1/2021,14,INN 1739.00,FC
YT359582,4/30/2021,19,INN 1739.00,FC
YT359582,5/28/2021,8,INN 1739.00,FC
YT359582,6/25/2021,24,INN 1739.00,FC
YT362676-001-811,6/2/2021,1,CAT 15111.00,FC
YT362676-001-811,7/7/2021,1,CAT 15111.00,FC
YT362801,10/19/2021,1,CAT 2805.00,FC
YT362801,8/17/2021,1,CAT 2805.00,FC
YT363522,10/26/2021,20,CAT 77.00,FC
YT363522,5/11/2021,12,CAT 77.00,FC
YT363522,6/29/2021,10,CAT 77.00,FC
YT363522,8/10/2021,14,CAT 77.00,FC
YT363522,9/14/2021,15,CAT 77.00,FC
YT363978-816,10/28/2021,22,PR 46.00,FC
YT363978-816,11/29/2021,22,PR 46.00,FC
YT363978-816,4/29/2021,22,PR 46.00,FC
YT363978-816,5/28/2021,22,PR 46.00,FC
YT363978-816,6/29/2021,22,PR 46.00,FC
YT363978-816,7/29/2021,22,PR 46.00,FC
YT363978-816,8/30/2021,22,PR 46.00,FC
YT363978-816,9/29/2021,22,PR 46.00,FC
YT365037,5/13/2021,3,INN 1260.00,FC
YT365037,6/11/2021,3,INN 1260.00,FC
YT365037,6/25/2021,5,INN 1260.00,FC
YT365041,5/21/2021,4,INN 2664.00,FC
YT365041,6/18/2021,4,INN 2664.00,FC
YT365065,6/1/2021,1,INN 2013.00,FC
YT365065,6/2/2021,3,INN 2013.00,FC
YT365065,6/30/2021,4,INN 2013.00,FC
YT405492-03.37-AB-816,8/10/2021,7,CAT 95.00,FC
YT406653-001,10/7/2021,2,PR 1470.00,FC
YT406653-001,11/5/2021,3,PR 1470.00,FC
YT406653-001,5/7/2021,2,PR 1470.00,FC
YT406653-001,6/7/2021,2,PR 1470.00,FC
YT406653-001,7/7/2021,3,PR 1470.00,FC
YT406653-001,8/6/2021,2,PR 1470.00,FC
YT406653-001,9/7/2021,3,PR 1470.00,FC
YT409853-001,10/25/2021,6,PR   2246.00,FC
YT409853-001,10/28/2021,16,PR   2246.00,FC
YT409853-001,11/22/2021,5,PR   2246.00,FC
YT409853-001,4/26/2021,5,PR   2246.00,FC
YT409853-001,4/29/2021,6,PR   2246.00,FC
YT409853-001,5/17/2021,14,PR   2246.00,FC
YT409853-001,5/20/2021,7,PR   2246.00,FC
YT409853-001,5/26/2021,4,PRW 2246.00,FC
YT409853-001,5/27/2021,17,PR   2246.00,FC
YT409853-001,6/14/2021,8,PRW 2246.00,FC
YT409853-001,6/24/2021,13,PR   2246.00,FC
YT409853-001,7/26/2021,5,PR   2246.00,FC
YT409853-001,7/27/2021,4,PRW 2246.00,FC
YT409853-001,7/29/2021,13,PR   2246.00,FC
YT409853-001,8/25/2021,6,PR   2246.00,FC
YT409853-001,8/30/2021,16,PR   2246.00,FC
YT409853-001,9/24/2021,14,PR   2246.00,FC
YT410504-816,3/1/2021,1,INN 46.00,FC
YT410505-816,3/1/2021,4,INN 46.00,FC
YT410534,5/21/2021,38,INN 25.00,FC
YT410534,6/11/2021,9,INN 25.00,FC
YT410535,4/23/2021,10,INN 25.00,FC
YT410535,4/28/2021,40,INN 25.00,FC
YT410810-001,10/28/2021,2,PR 1940.00,FC
YT410810-001,11/29/2021,3,PR 1940.00,FC
YT410810-001,5/27/2021,3,PR 1940.00,FC
YT410810-001,6/29/2021,2,PR 1940.00,FC
YT410810-001,7/29/2021,3,PR 1940.00,FC
YT410810-001,8/30/2021,2,PR 1940.00,FC
YT410810-001,9/29/2021,3,PR 1940.00,FC
YT414325-811,10/28/2021,6,PR 2892.00,FC
YT414325-811,4/29/2021,6,PR 2892.00,FC
YT414325-811,5/27/2021,6,PR 2892.00,FC
YT414325-811,6/29/2021,6,PR 2892.00,FC
YT414325-811,7/29/2021,7,PR 2892.00,FC
YT414325-811,8/30/2021,6,PR 2892.00,FC
YT414325-811,9/29/2021,6,PR 2892.00,FC
YT415712-0.75-TT-D,10/12/2021,121,CAT 4.00,FC
YT420032-AO-816,5/18/2021,1,CAT 494.00,FC
YT420571,9/20/2021,2,KOH 11416.00,FC
YT421499,4/26/2021,5,KOH 18.00,FC
YT421499,5/24/2021,6,KOH 18.00,FC
YT422714,10/5/2021,19,CAT 93.00,FC
YT422714,11/9/2021,28,CAT 93.00,FC
YT422714,3/23/2021,16,CAT 93.00,FC
YT422714,5/11/2021,21,CAT 93.00,FC
YT422714,6/15/2021,16,CAT 93.00,FC
YT422714,7/27/2021,16,CAT 93.00,FC
YT422714,8/31/2021,20,CAT 93.00,FC
YT423496-807,10/11/2021,1,GE  30534.00,FC
YT423496-807,10/18/2021,1,GE  30534.00,FC
YT423496-807,10/4/2021,1,GE  30534.00,FC
YT423496-807,11/1/2021,1,GE  30534.00,FC
YT423496-807,11/15/2021,1,GE  30534.00,FC
YT423496-807,11/8/2021,1,GE  30534.00,FC
YT423496-807,5/28/2021,2,GE  30534.00,FC
YT423839-AO-816,10/19/2021,1,CAT 190.00,FC
YT425053,11/9/2021,2,CAT 560.00,FC
YT425053,9/21/2021,1,CAT 560.00,FC
YT425664-AO-816,9/7/2021,1,CAT 185.00,FC
YT426748,11/9/2021,1,CAT 809.00,FC
YT427744,10/5/2021,11,KOM 2314.00,FC
YT427744,11/1/2021,24,KOM 2314.00,FC
YT427744,8/2/2021,14,KOM 2314.00,FC
YT427744,9/2/2021,16,KOM 2314.00,FC
YT427808,10/4/2021,1,KOH 17150.00,FC
YT427808,11/1/2021,1,KOH 17150.00,FC
YT427808,4/5/2021,1,KOH 17150.00,FC
YT427808,5/3/2021,1,KOH 17150.00,FC
YT427808,6/7/2021,1,KOH 17150.00,FC
YT427808,7/6/2021,1,KOH 17150.00,FC
YT427808,8/9/2021,1,KOH 17150.00,FC
YT427808,9/3/2021,1,KOH 17150.00,FC
YT427809,10/4/2021,2,KOH 18839.00,FC
YT427809,11/1/2021,1,KOH 18839.00,FC
YT427809,4/19/2021,1,KOH 18839.00,FC
YT427809,5/3/2021,1,KOH 18839.00,FC
YT427809,6/21/2021,2,KOH 18839.00,FC
YT427809,7/2/2021,1,KOH 18839.00,FC
