Item,Date,Qty,Customer,PC,Price,Extended Price,Org,Type
YT#500829,18-SEP-20,1.0,C H BULL CO,4,"11,267.88","11,267.88",LEX,SO
YT000000L,21-AUG-20,1.0,DEHN ENGINEERING SALES CO,292,900.00,900.00,LEX,SO
YT000COC,04-SEP-20,1.0,LUREYE ELECTROMECANICA SA,PHANTOM,50.00,50.00,LEX,SO
YT000COC,04-SEP-20,1.0,WESCO SPS,PHANTOM,50.00,50.00,LEX,SO
YT000COC,04-SEP-20,3.0,FAIRBANKS MORSE ENG DIV,PHANTOM,50.00,150.00,LEX,SO
YT000COC,18-SEP-20,3.0,FAIRBANKS MORSE ENG DIV,PHANTOM,50.00,150.00,LEX,SO
YT000COC,18-SEP-20,1.0,PRO DYNE CORP,PHANTOM,40.00,40.00,LEX,SO
YT000COC,18-SEP-20,6.0,FAIRBANKS MORSE ENG DIV,PHANTOM,50.00,300.00,LEX,SO
YT000COC,30-SEP-20,1.0,PRO DYNE CORP,PHANTOM,40.00,40.00,LEX,SO
YT000COC,02-OCT-20,1.0,FAIRBANKS MORSE ENG DIV,PHANTOM,50.00,50.00,LEX,SO
YT000COC,28-OCT-20,1.0,MRC GLOBAL INC US 830,PHANTOM,50.00,50.00,LEX,SO
YT000COC,30-OCT-20,1.0,OCEAN SHIPS INC,PHANTOM,50.00,50.00,LEX,SO
YT000COO,04-SEP-20,1.0,LUREYE ELECTROMECANICA SA,PHANTOM,50.00,50.00,LEX,SO
YT000COO,30-SEP-20,1.0,PRO DYNE CORP,PHANTOM,40.00,40.00,LEX,SO
YT000COO,30-OCT-20,1.0,OCEAN SHIPS INC,PHANTOM,50.00,50.00,LEX,SO
YT001319-006,28-AUG-20,12.0,NAVAL AIR WARFARE CENTER,FS,3.00,36.00,LEX,SO
YT001391-006,18-SEP-20,225.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,0.35,78.75,LEX,SO
YT004197-003,28-AUG-20,12.0,NAVAL AIR WARFARE CENTER,FS,3.00,36.00,LEX,SO
YT004741-007,28-AUG-20,12.0,NAVAL AIR WARFARE CENTER,FS,3.00,36.00,LEX,SO
YT004744-007,11-SEP-20,700.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,0.25,175.00,LEX,SO
YT01783,28-AUG-20,675.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,0.15,101.25,LEX,SO
YT02008-806,24-SEP-20,4.0,WABCO-KANSAS CITY SERVICE CENTER,8,"1,834.73","7,338.93",LEX,SO
YT02203,28-AUG-20,16.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,0.04,0.64,LEX,SO
YT02203,11-SEP-20,500.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,0.04,20.00,LEX,SO
YT02203,18-SEP-20,4.0,OHIO CAT,FS,0.00,0.00,LEX,SO
YT02203,18-SEP-20,500.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,0.04,20.00,LEX,SO
YT03045,25-SEP-20,4.0,MOTIVE POWER-BOISE,6,"3,271.00","13,084.00",LEX,SO
YT03045,02-OCT-20,4.0,MOTIVE POWER-BOISE,6,"3,271.00","13,084.00",LEX,SO
YT03045,02-OCT-20,4.0,MOTIVE POWER-BOISE,6,"3,271.00","13,084.00",LEX,SO
YT03045,13-NOV-20,4.0,MOTIVE POWER-BOISE,6,"3,271.00","13,084.00",LEX,SO
YT03045,21-DEC-20,4.0,MOTIVE POWER-BOISE,6,"3,271.00","13,084.00",LEX,SO
YT04906-096.00,18-SEP-20,1.0,OHIO CAT,DU,0.00,0.00,LEX,SO
YT05001-058.75,02-OCT-20,22.0,PROGRESS RAIL LOCOMOTIVE INC.,DU,10.00,220.00,LEX,SO
