Item,Date,Current,Comment,Qty,Type
YT04906-089.50,3/16/2021,22.0,CAT 41.00,,
YT04906-089.50,4/20/2021,33.0,CAT 41.00,,
YT04906-089.50,5/18/2021,21.0,CAT 41.00,,
YT04906-089.50,6/15/2021,58.0,CAT 41.00,,
YT04906-089.50,7/20/2021,36.0,CAT 41.00,,
YT04906-089.50,8/10/2021,26.0,CAT 41.00,,
YT04906-089.50,9/7/2021,49.0,CAT 41.00,,
YT04906-089.50,9/28/2021,41.0,CAT 41.00,,
YT04906-089.50,10/26/2021,37.0,CAT 41.00,,
YT04906-089.50,11/23/2021,55.0,CAT 41.00,,
YT344321-805,5/28/2021,3.0,PR 15384.00,,
YT344321-805,7/29/2021,3.0,PR 15384.00,,
YT344322-805,5/28/2021,3.0,PR 15384.00,,
YT344322-805,7/29/2021,3.0,PR 15384.00,,
YT363693-805,6/29/2021,3.0,PR 13637.20,,
YT363693-805,7/29/2021,2.0,PR 13637.20,,
YT363693-805,8/30/2021,2.0,PR 13637.20,,
YT363693-805,9/29/2021,1.0,PR 13637.20,,
YT363693-805,10/28/2021,2.0,PR 13637.20,,
YT363693-805,11/29/2021,2.0,PR 13637.20,,
YT363694-805,6/29/2021,1.0,PR 13637.20,,
YT363694-805,7/29/2021,2.0,PR 13637.20,,
YT363694-805,8/30/2021,2.0,PR 13637.20,,
YT363694-805,9/29/2021,2.0,PR 13637.20,,
YT418867-803,7/12/2021,8.0,GEB 6078.66,,
YT418867-803,7/26/2021,8.0,GEB 6078.66,,
YT418867-803,8/2/2021,8.0,GEB 6078.66,,
YT418867-803,8/16/2021,8.0,GEB 6078.66,,
YT418867-803,8/30/2021,10.0,GEB 6078.66,,
YT418867-803,9/3/2021,6.0,GEB 6078.66,,
YT418867-803,9/13/2021,6.0,GEB 6078.66,,
YT418867-803,9/27/2021,6.0,GEB 6078.66,,
YT418867-803,10/4/2021,6.0,GEB 6078.66,,
YT418867-803,10/11/2021,6.0,GEB 6078.66,,
YT418867-803,10/18/2021,6.0,GEB 6078.66,,
YT418867-803,11/8/2021,6.0,GEB 6078.66,,
YT418867-803,11/15/2021,4.0,GEB 6078.66,,
YT421493-800,8/30/2021,1.0,GE 16128.00,,
YT421494-800,8/30/2021,1.0,GE 16128.00,,
YT423507-803,8/3/2021,1.0,CAT 11357.00,,
YT423507-803,8/31/2021,1.0,CAT 11357.00,,
YT423507-803,10/5/2021,2.0,CAT 11357.00,,
YT423507-803,11/2/2021,1.0,CAT 11357.00,,
YT423507-803,11/30/2021,1.0,CAT 11357.00,,
YT425655,4/13/2021,9.0,CAT 62.00,,
YT425655,5/18/2021,13.0,CAT 62.00,,
YT425655,7/13/2021,26.0,CAT 62.00,,
YT425655,8/24/2021,18.0,CAT 62.00,,
YT425655,10/12/2021,27.0,CAT 62.00,,
YT425655,11/16/2021,19.0,CAT 62.00,,
YT425663-803,6/15/2021,7.0,CAT 7131.00,,
YT425663-803,6/29/2021,6.0,CAT 7131.00,,
YT425663-803,7/6/2021,6.0,CAT 7131.00,,
YT425663-803,7/20/2021,11.0,CAT 7131.00,,
YT425663-803,7/27/2021,5.0,CAT 7131.00,,
YT425663-803,8/3/2021,4.0,CAT 7131.00,,
YT425663-803,8/10/2021,12.0,CAT 7131.00,,
YT425663-803,8/24/2021,4.0,CAT 7131.00,,
YT425663-803,8/31/2021,5.0,CAT 7131.00,,
YT425663-803,9/14/2021,11.0,CAT 7131.00,,
YT425663-803,9/21/2021,6.0,CAT 7131.00,,
YT425663-803,9/28/2021,5.0,CAT 7131.00,,
YT425663-803,10/12/2021,10.0,CAT 7131.00,,
YT425663-803,10/19/2021,4.0,CAT 7131.00,,
YT425663-803,10/26/2021,6.0,CAT 7131.00,,
YT425663-803,11/2/2021,7.0,CAT 7131.00,,
YT425663-803,11/9/2021,10.0,CAT 7131.00,,
YT425663-803,11/23/2021,6.0,CAT 7131.00,,
YT425663-815,5/6/2021,4.0,CAT 7099.00,,
YT425663-815,5/11/2021,4.0,CAT 7099.00,,
YT425663-815,7/13/2021,4.0,CAT 7099.00,,
YT425663-815,8/12/2021,4.0,CAT 7099.00,,
YT425663-815,9/13/2021,4.0,CAT 7099.00,,
YT425663-815,10/12/2021,4.0,CAT 7099.00,,
YT426744-AB-803,5/11/2021,1.0,CAT 10570.00,,
YT426744-AB-803,6/8/2021,2.0,CAT 10570.00,,
YT426744-AB-803,7/13/2021,1.0,CAT 10570.00,,
YT426744-AB-803,8/3/2021,2.0,CAT 10570.00,,
YT426744-AB-803,8/31/2021,1.0,CAT 10570.00,,
YT426744-AB-803,9/21/2021,1.0,CAT 10570.00,,
YT426744-AB-803,10/19/2021,2.0,CAT 10570.00,,
YT426744-AB-803,11/16/2021,2.0,CAT 10570.00,,
YT432545,5/11/2021,5.0,CAT 41.00,,
YT432545,7/13/2021,9.0,CAT 41.00,,
YT432545,10/12/2021,6.0,CAT 41.00,,
YT432573,5/11/2021,8.0,CAT 41.00,,
YT432573,7/27/2021,11.0,CAT 41.00,,
YT432573,10/12/2021,7.0,CAT 41.00,,
YT435068-805,5/6/2021,1.0,PR 11610.00,,
YT435068-805,6/8/2021,1.0,PR 11610.00,,
YT440158-804,7/12/2021,2.0,GEB 3764.93,,
YT440158-804,7/26/2021,2.0,GEB 3764.93,,
YT440158-804,8/2/2021,2.0,GEB 3764.93,,
YT440158-804,8/16/2021,2.0,GEB 3764.93,,
YT440158-804,8/30/2021,2.0,GEB 3764.93,,
YT440158-804,9/3/2021,2.0,GEB 3764.93,,
YT440158-804,9/20/2021,2.0,GEB 3764.93,,
YT440158-804,9/27/2021,2.0,GEB 3764.93,,
YT440158-804,10/11/2021,2.0,GEB 3764.93,,
YT440158-804,10/25/2021,2.0,GEB 3764.93,,
YT440158-804,11/8/2021,2.0,GEB 3764.93,,
YT440159-804,7/12/2021,2.0,GEB 3725.75,,
YT440159-804,7/26/2021,2.0,GEB 3725.75,,
YT440159-804,8/2/2021,2.0,GEB 3725.75,,
YT440159-804,8/16/2021,2.0,GEB 3725.75,,
YT440159-804,8/30/2021,3.0,GEB 3725.75,,
YT440159-804,9/3/2021,2.0,GEB 3725.75,,
YT440159-804,9/20/2021,2.0,GEB 3725.75,,
YT440159-804,10/4/2021,2.0,GEB 3725.75,,
YT440159-804,10/18/2021,2.0,GEB 3725.75,,
YT440159-804,11/1/2021,2.0,GEB 3725.75,,
YT440159-804,11/15/2021,1.0,GEB 3725.75,,
YT440499-803,8/16/2021,4.0,GE  13978.00,,
YT440499-803,8/30/2021,4.0,GE  13978.00,,
YT440499-803,9/27/2021,4.0,GE  13978.00,,
