Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open Qty,Price,Extended Price,Item Cost ,Material Cost,Material OH Cost,Resource Cost,Overhead Cost,OSP Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Date,Qty,Customer,PC,Org,Type
YT02190-806,D6 RADIATOR YTF 106 PAL CB BOX - FINAL ASSEMBLY,3,YTS-DOMESTIC,562857.0,1.0,08-DEC-20,08-DEC-20,10-DEC-20,28-DEC-20,04-MAR-21,04-MAR-21,4.0,"2,485.00","9,940.00","2,058.90","1,121.19",,184.10,711.62,42.0,MOTIVE POWER-BOISE,901 FRANKLIN AVENUE,BUILDING 18 SOUTH DOCK,"Erie,PA 16531 - US",,,,,,,
YT02753,"TEE, 3/8"" NPT - ( BLACK PIPE )",PI,YTS-INTERNATIONAL,562627.0,1.0,09-NOV-20,09-NOV-20,07-DEC-20,23-MAR-21,22-JAN-21,22-JAN-21,50.0,2.43,121.50,1.89,1.89,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT02758,CORE TO TANK FLEX CONNECT - GE/TCS,HO,YTS-DOMESTIC,562556.0,1.0,30-OCT-20,30-OCT-20,30-OCT-20,08-JAN-21,06-JAN-21,06-JAN-21,16.0,68.00,"1,088.00",27.60,27.60,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT02758,CORE TO TANK FLEX CONNECT - GE/TCS,HO,YTS-DOMESTIC,562901.0,1.0,14-DEC-20,14-DEC-20,15-DEC-20,22-JAN-21,05-FEB-21,05-FEB-21,25.0,68.00,"1,700.00",27.60,27.60,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT04088-805,RH BANK GE TCS 6000 YTF 105 YTF 104 STD PAL/PLY - GE#84A203300P4,3,YTS-DOMESTIC,561979.0,1.0,24-AUG-20,24-AUG-20,24-AUG-20,22-FEB-21,12-FEB-21,12-FEB-21,1.0,"22,904.00","22,904.00","15,403.02","10,229.62",,"1,101.71","4,071.68",,"WABTEC TRANSPORTATION SYSTEMS, LLC",CSC NORTH PLATTE,6010 W. FRONT STREET,"NORTH PLATTE,NE 69101 - US",,,,,,,
YT04359,FLEX CONN. CORE/CORE - IMPROVED TCS,HO,YTS-DOMESTIC,562530.0,1.0,28-OCT-20,28-OCT-20,30-NOV-20,06-JAN-21,06-JAN-21,06-JAN-21,3.0,72.00,216.00,34.60,34.60,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT04359,FLEX CONN. CORE/CORE - IMPROVED TCS,HO,YTS-DOMESTIC,562708.0,1.0,18-NOV-20,18-NOV-20,30-NOV-20,21-JAN-21,15-JAN-21,15-JAN-21,2.0,72.00,144.00,34.60,34.60,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT04359,FLEX CONN. CORE/CORE - IMPROVED TCS,HO,YTS-INTERNATIONAL,562628.0,1.0,09-NOV-20,09-NOV-20,07-DEC-20,23-MAR-21,22-JAN-21,22-JAN-21,50.0,44.35,"2,217.50",34.60,34.60,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT04359,FLEX CONN. CORE/CORE - IMPROVED TCS,HO,YTS-DOMESTIC,562640.0,1.0,11-NOV-20,11-NOV-20,30-NOV-20,26-JAN-21,22-JAN-21,22-JAN-21,2.0,72.00,144.00,34.60,34.60,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT04359,FLEX CONN. CORE/CORE - IMPROVED TCS,HO,YTS-DOMESTIC,562540.0,1.0,29-OCT-20,29-OCT-20,14-DEC-20,02-JAN-23,02-JAN-23,02-JAN-23,4.0,72.00,288.00,34.60,34.60,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
